stage,contract,side,energy_mwh,price_eur_mwh,cashflow_eur,area,date
DA,08:30-08:45,charge,0.23717082451262844,47.88,-11.97,AT,2026-03-01
DA,08:45-09:00,charge,0.23717082451262844,44.49,-11.1225,AT,2026-03-01
DA,09:15-09:30,charge,0.23717082451262844,27.26,-6.815,AT,2026-03-01
DA,09:30-09:45,charge,0.23717082451262844,11.13,-2.7825,AT,2026-03-01
DA,09:45-10:00,charge,0.05131670194948623,0.11,-0.0059501808728405796,AT,2026-03-01
DA,10:00-10:15,charge,0.0,0.86,-0.0,AT,2026-03-01
DA,10:15-10:30,charge,0.0,0.0,-0.0,AT,2026-03-01
DA,10:30-10:45,charge,0.0,-0.06,0.0,AT,2026-03-01
DA,10:45-11:00,charge,0.0,-0.81,0.0,AT,2026-03-01
DA,11:00-11:15,charge,0.0,0.01,-0.0,AT,2026-03-01
DA,11:15-11:30,charge,0.0,0.0,-0.0,AT,2026-03-01
DA,11:30-11:45,charge,0.0,-0.01,0.0,AT,2026-03-01
DA,11:45-12:00,charge,0.0,-0.1,0.0,AT,2026-03-01
DA,12:00-12:15,charge,0.0,-0.1,0.0,AT,2026-03-01
DA,12:15-12:30,charge,0.0,-0.11,0.0,AT,2026-03-01
DA,12:30-12:45,charge,0.0,-0.25,0.0,AT,2026-03-01
DA,12:45-13:00,charge,0.0,-1.0,0.0,AT,2026-03-01
DA,13:00-13:15,charge,0.0,-1.01,0.0,AT,2026-03-01
DA,13:15-13:30,charge,0.0,-1.03,0.0,AT,2026-03-01
DA,13:30-13:45,charge,0.0,-1.0,0.0,AT,2026-03-01
DA,13:45-14:00,charge,0.0,-0.11,0.0,AT,2026-03-01
DA,14:00-14:15,charge,0.0,-1.0,0.0,AT,2026-03-01
DA,14:15-14:30,charge,0.0,-0.06,0.0,AT,2026-03-01
DA,14:30-14:45,charge,0.0,0.0,-0.0,AT,2026-03-01
DA,14:45-15:00,charge,0.0,1.03,-0.0,AT,2026-03-01
DA,15:00-15:15,charge,0.0,0.0,-0.0,AT,2026-03-01
DA,15:15-15:30,charge,0.0,0.13,-0.0,AT,2026-03-01
DA,15:30-15:45,charge,0.0,36.79,-0.0,AT,2026-03-01
DA,16:00-16:15,charge,0.0,40.98,-0.0,AT,2026-03-01
